full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,74761,74761,12078,22,22,3,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9623,9623,14646,0,0,0,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,46203,46203,7622,25,25,1,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1755,1755,2597,1,1,1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,52684,52684,4599,8,8,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,64781,64781,6443,6,6,1,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,36748,36748,3077,7,7,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,30306,30306,3418,1,1,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,945,945,1224,1,1,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,24252,24252,3473,21,21,4,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24483,24483,2846,4,4,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3280,3280,3820,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8674,8674,2084,0,0,1,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2331,2331,3533,1,1,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12393,12393,2035,1,1,-1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3828,3828,2047,1,1,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1516,1516,2952,0,0,1,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,10006,10006,1228,2,2,0,https://github.com/diet103/claude-code-infrastructure-showcase
ykdojo/claude-code-tips,9818,9818,786,3,3,1,https://github.com/ykdojo/claude-code-tips
frankbria/ralph-claude-code,9603,9603,723,0,0,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2805,2805,2453,-1,-1,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,791,791,1756,0,0,1,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4122,4122,813,0,0,0,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,14933,14933,1310,7,7,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6027,6027,566,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,621,621,1305,0,0,0,https://github.com/huangserva/claude-code-cli
FlorianBruniaux/claude-code-ultimate-guide,5767,5767,753,1,1,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,3224,3224,615,2,2,0,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3885,3885,565,0,0,0,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,5938,5938,644,4,4,0,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2530,2530,902,0,0,1,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4583,4583,460,1,1,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3731,3731,490,0,0,0,https://github.com/1rgs/claude-code-proxy
Windy3f3f3f3f/how-claude-code-works,3487,3487,691,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
lorryjovens-hub/claude-code-rust,1667,1667,640,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
alejandrobalderas/claude-code-from-source,2759,2759,752,1,1,1,https://github.com/alejandrobalderas/claude-code-from-source
disler/claude-code-hooks-mastery,3898,3898,637,1,1,0,https://github.com/disler/claude-code-hooks-mastery
Maciek-roboblog/Claude-Code-Usage-Monitor,8646,8646,455,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
777genius/claude-code-source-code,926,926,1091,0,0,0,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3326,3326,388,0,0,-1,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2759,2759,413,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2773,2773,411,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
fazxes/Claude-code,231,231,218,0,0,0,https://github.com/fazxes/Claude-code
Yuyz0112/claude-code-reverse,2427,2427,413,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5232,5232,199,0,0,0,https://github.com/kodu-ai/claude-coder
SeemSeam/claude_codex_bridge,3428,3428,338,0,0,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2584,2584,530,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2864,2864,318,-1,-1,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1675,1675,572,3,3,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3063,3063,302,0,0,0,https://github.com/Chachamaru127/claude-code-harness
multica-ai/andrej-karpathy-skills,204160,204160,20919,82,82,2,https://github.com/multica-ai/andrej-karpathy-skills
https-deeplearning-ai/sc-claude-code-files,543,543,830,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1189,1189,394,0,0,0,https://github.com/repowise-dev/claude-code-prompts
affaan-m/ECC,241281,241281,36578,28,28,2,https://github.com/affaan-m/ECC
asgeirtj/system_prompts_leaks,63230,63230,10387,10,10,3,https://github.com/asgeirtj/system_prompts_leaks
anthropics/claude-code-base-action,949,949,611,0,0,0,https://github.com/anthropics/claude-code-base-action
AprilNEA/claude-code-source,390,390,608,0,0,-1,https://github.com/AprilNEA/claude-code-source
jqueryscript/awesome-claude-code,502,502,530,0,0,0,https://github.com/jqueryscript/awesome-claude-code
huangjia2019/claude-code-engineering,1076,1076,379,1,1,0,https://github.com/huangjia2019/claude-code-engineering
krusemediallc/arcads-claude-code,1359,1359,332,4,4,1,https://github.com/krusemediallc/arcads-claude-code
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,374,374,545,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1498,1498,284,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3848,3848,276,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/skills,170602,170602,20286,56,56,4,https://github.com/anthropics/skills
Yeachan-Heo/oh-my-claudecode,38679,38679,3471,3,3,-2,https://github.com/Yeachan-Heo/oh-my-claudecode
disler/pi-vs-claude-code,1614,1614,373,0,0,0,https://github.com/disler/pi-vs-claude-code
VILA-Lab/Dive-into-Claude-Code,2069,2069,319,0,0,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
digitalsamba/claude-code-video-toolkit,1955,1955,327,0,0,0,https://github.com/digitalsamba/claude-code-video-toolkit
feiskyer/claude-code-settings,1631,1631,244,0,0,0,https://github.com/feiskyer/claude-code-settings
OrcaWhisper/Claude-Code,92,92,174,0,0,0,https://github.com/OrcaWhisper/Claude-Code
jeremylongshore/claude-code-plugins-plus-skills,2655,2655,390,2,2,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
WorldFlowAI/everything-claude-code,1411,1411,250,5,5,0,https://github.com/WorldFlowAI/everything-claude-code
AICoderTudou/claude-code-tudou,496,496,394,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
