full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,74624,74624,12067,22,22,1,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,45981,45981,7593,37,37,3,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9620,9620,14647,0,0,-2,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1752,1752,2596,2,2,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,52594,52594,4600,3,3,1,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,64688,64688,6432,9,9,-1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30288,30288,3413,1,1,0,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,36723,36723,3071,3,3,1,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,945,945,1227,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,24161,24161,3460,20,20,5,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24452,24452,2842,2,2,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3280,3280,3819,0,0,-1,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8665,8665,2080,3,3,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2330,2330,3533,0,0,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12372,12372,2036,3,3,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3820,3820,2042,2,2,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1509,1509,2943,0,0,1,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,10004,10004,1229,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
ykdojo/claude-code-tips,9800,9800,784,1,1,0,https://github.com/ykdojo/claude-code-tips
frankbria/ralph-claude-code,9604,9604,722,-3,-3,-1,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2805,2805,2453,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,791,791,1755,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4117,4117,812,2,2,0,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,14886,14886,1313,15,15,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6028,6028,567,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5759,5759,754,2,2,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,621,621,1306,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3885,3885,566,0,0,0,https://github.com/OneRedOak/claude-code-workflows
nicedreamzapp/claude-code-local,3219,3219,614,0,0,0,https://github.com/nicedreamzapp/claude-code-local
anthropics/claude-code-security-review,5917,5917,642,1,1,0,https://github.com/anthropics/claude-code-security-review
zebbern/claude-code-guide,4583,4583,460,1,1,0,https://github.com/zebbern/claude-code-guide
rohitg00/awesome-claude-code-toolkit,2528,2528,901,0,0,0,https://github.com/rohitg00/awesome-claude-code-toolkit
1rgs/claude-code-proxy,3732,3732,490,1,1,0,https://github.com/1rgs/claude-code-proxy
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
alejandrobalderas/claude-code-from-source,2757,2757,750,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
disler/claude-code-hooks-mastery,3894,3894,638,1,1,0,https://github.com/disler/claude-code-hooks-mastery
lorryjovens-hub/claude-code-rust,1667,1667,641,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
Windy3f3f3f3f/how-claude-code-works,3478,3478,688,4,4,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
Maciek-roboblog/Claude-Code-Usage-Monitor,8639,8639,454,0,0,-1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
777genius/claude-code-source-code,926,926,1090,0,0,0,https://github.com/777genius/claude-code-source-code
fuergaosi233/claude-code-proxy,2772,2772,411,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
ding113/claude-code-hub,3324,3324,389,0,0,2,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,231,231,218,0,0,0,https://github.com/fazxes/Claude-code
RichardAtCT/claude-code-telegram,2758,2758,412,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
Yuyz0112/claude-code-reverse,2428,2428,413,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5236,5236,199,0,0,0,https://github.com/kodu-ai/claude-coder
SeemSeam/claude_codex_bridge,3427,3427,338,1,1,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2580,2580,526,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2865,2865,318,0,0,0,https://github.com/Cranot/claude-code-guide
Chachamaru127/claude-code-harness,3062,3062,302,0,0,0,https://github.com/Chachamaru127/claude-code-harness
luyao618/Claude-Code-Source-Study,1671,1671,570,2,2,1,https://github.com/luyao618/Claude-Code-Source-Study
affaan-m/ECC,241035,241035,36559,31,31,4,https://github.com/affaan-m/ECC
https-deeplearning-ai/sc-claude-code-files,542,542,829,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
asgeirtj/system_prompts_leaks,63151,63151,10372,12,12,1,https://github.com/asgeirtj/system_prompts_leaks
repowise-dev/claude-code-prompts,1189,1189,394,1,1,0,https://github.com/repowise-dev/claude-code-prompts
multica-ai/andrej-karpathy-skills,203721,203721,20890,51,51,6,https://github.com/multica-ai/andrej-karpathy-skills
anthropics/claude-code-base-action,949,949,611,0,0,0,https://github.com/anthropics/claude-code-base-action
AprilNEA/claude-code-source,390,390,609,0,0,0,https://github.com/AprilNEA/claude-code-source
jqueryscript/awesome-claude-code,501,501,528,0,0,0,https://github.com/jqueryscript/awesome-claude-code
huangjia2019/claude-code-engineering,1075,1075,378,0,0,0,https://github.com/huangjia2019/claude-code-engineering
krusemediallc/arcads-claude-code,1305,1305,326,21,21,3,https://github.com/krusemediallc/arcads-claude-code
anthropics/skills,170362,170362,20273,45,45,4,https://github.com/anthropics/skills
JrCx7scC/claude-code-source,374,374,546,0,0,-1,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
edmund-io/edmunds-claude-code,1498,1498,284,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3848,3848,276,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,38648,38648,3474,1,1,-1,https://github.com/Yeachan-Heo/oh-my-claudecode
disler/pi-vs-claude-code,1613,1613,373,0,0,0,https://github.com/disler/pi-vs-claude-code
digitalsamba/claude-code-video-toolkit,1951,1951,328,0,0,0,https://github.com/digitalsamba/claude-code-video-toolkit
VILA-Lab/Dive-into-Claude-Code,2063,2063,318,1,1,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
feiskyer/claude-code-settings,1631,1631,244,0,0,0,https://github.com/feiskyer/claude-code-settings
OrcaWhisper/Claude-Code,92,92,173,0,0,0,https://github.com/OrcaWhisper/Claude-Code
jeremylongshore/claude-code-plugins-plus-skills,2651,2651,390,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
xu-xiang/everything-claude-code-zh,1880,1880,308,0,0,0,https://github.com/xu-xiang/everything-claude-code-zh
darcyegb/ClaudeCodeAgents,760,760,70,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
AICoderTudou/claude-code-tudou,496,496,394,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,594,594,512,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
WorldFlowAI/everything-claude-code,1376,1376,243,8,8,2,https://github.com/WorldFlowAI/everything-claude-code
KPR111/Claude-Code,18,18,324,0,0,0,https://github.com/KPR111/Claude-Code
ccplugins/awesome-claude-code-plugins,920,920,383,0,0,0,https://github.com/ccplugins/awesome-claude-code-plugins
centminmod/my-claude-code-setup,2591,2591,246,0,0,0,https://github.com/centminmod/my-claude-code-setup
simonw/claude-code-transcripts,1670,1670,197,1,1,0,https://github.com/simonw/claude-code-transcripts
daymade/claude-code-skills,1343,1343,214,0,0,0,https://github.com/daymade/claude-code-skills
